Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ANN_MUTUAL_INFO_n_features-14,ANN,0.7961842303377062,0.8056719428731067,0.7961842303377062,0.7957684852473206,0.7182475247524752,0.7286312616280874,0.7182475247524752,0.7164936779632771,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",29.46,Algoritma,14
CLab_G/Bratio,ANN,0.7890207830432903,0.7967581789442184,0.7890207830432903,0.7883274095781249,0.7172871287128713,0.7274392494903879,0.7172871287128713,0.7155842925104393,"G/Bratio, cL, ca, cb",27.25,Gabungan Fitur,4
ANN_MUTUAL_INFO_n_features-4,ANN,0.7929882120948666,0.800948983345209,0.7929882120948666,0.7923598084695008,0.7172673267326732,0.7272233144006754,0.7172673267326732,0.7148539843986415,"R/Gratio, G/Bratio, S, cL",30.17,Algoritma,4
ANN_PCA_n_components-6,ANN,0.7998236914065346,0.8105346450215111,0.7998236914065346,0.7990523222252797,0.7162871287128713,0.7300234253261817,0.7162871287128713,0.7136301159088171,(tidak tersedia),27.33,Algoritma,1
RGB_HSV_CLab_G/Bratio,ANN,0.8011468558300832,0.8107564915593363,0.8011468558300832,0.8006533522784844,0.7162871287128713,0.7284902648215829,0.7162871287128713,0.7142494249318192,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",24.18,Gabungan Fitur,10
rgb_HSV_CLab_G/Bratio,ANN,0.8011468558300832,0.8107564915593363,0.8011468558300832,0.8006533522784844,0.7162871287128713,0.7284902648215829,0.7162871287128713,0.7142494249318192,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",24.18,Gabungan Fitur,10
ANN_MUTUAL_INFO_n_features-8,ANN,0.8029094560661327,0.8135919821288947,0.8029094560661327,0.8022510611058907,0.7162673267326732,0.7296976247311213,0.7162673267326732,0.7146256108409028,"R, R/Gratio, G/Bratio, H, S, cL, ca, cb",27.89,Algoritma,8
ANN_PCA_n_components-13,ANN,0.8026900417215102,0.8127486942606759,0.8026900417215102,0.8020720845879417,0.7162673267326732,0.726253910247339,0.7162673267326732,0.7136627379144704,(tidak tersedia),24.83,Algoritma,1
ANN_MUTUAL_INFO_n_features-3,ANN,0.7964060731753517,0.8042638870506478,0.7964060731753517,0.7953205638045466,0.7162574257425742,0.7272101951585042,0.7162574257425742,0.7142165568376918,"R/Gratio, G/Bratio, cL",35.23,Algoritma,3
rgb_HSV_G/Bratio,ANN,0.7907849617998048,0.8006577283066477,0.7907849617998048,0.7895600183129362,0.7162475247524752,0.7290904802026634,0.7162475247524752,0.713055274088256,"r, g, b, G/Bratio, H, S, V",21.77,Gabungan Fitur,7
RGB_HSV_G/Bratio,ANN,0.7907849617998048,0.8006577283066477,0.7907849617998048,0.7895600183129362,0.7162475247524752,0.7290904802026634,0.7162475247524752,0.713055274088256,"R, G, B, G/Bratio, H, S, V",21.91,Gabungan Fitur,7
ANN_MUTUAL_INFO_n_features-7,ANN,0.800264341465547,0.8103858456547448,0.800264341465547,0.7998937450109069,0.7152871287128713,0.7256397872685822,0.7152871287128713,0.712671957275173,"R/Gratio, G/Bratio, H, S, cL, ca, cb",32.28,Algoritma,7
RGB_rgb_HSV_CLab_G/Bratio,ANN,0.7925480477344589,0.8055858884988858,0.7925480477344589,0.7925566892239819,0.7152673267326732,0.7301443247159642,0.7152673267326732,0.7127044364351914,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",20.23,Gabungan Fitur,13
rgb_HSV,ANN,0.7966264589171835,0.8082183912613153,0.7966264589171835,0.7960640929239636,0.7152673267326732,0.7265526827965321,0.7152673267326732,0.7133739469829204,"r, g, b, H, S, V",26.12,Gabungan Fitur,6
RGB_HSV,ANN,0.7966264589171835,0.8082183912613153,0.7966264589171835,0.7960640929239636,0.7152673267326732,0.7265526827965321,0.7152673267326732,0.7133739469829204,"R, G, B, H, S, V",26.36,Gabungan Fitur,6
HSV_R/Gratio,ANN,0.8030201953479787,0.814681800973967,0.8030201953479787,0.802468966427392,0.7142871287128713,0.7245084438086699,0.7142871287128713,0.7116207856321786,"R/Gratio, H, S, V",32.22,Gabungan Fitur,4
RGB_rgb_HSV_CLab,ANN,0.7887999116028539,0.797777658047772,0.7887999116028539,0.7884813495056819,0.7142772277227722,0.7231271883971304,0.7142772277227722,0.7120410688399796,"R, G, B, r, g, b, H, S, V, cL, ca, cb",18.99,Gabungan Fitur,12
RGB_rgb_HSV_CLab_R/Gratio,ANN,0.7938708478840539,0.8051323925234417,0.7938708478840539,0.7934088064416132,0.7142475247524752,0.7261446916430113,0.7142475247524752,0.7130145072603511,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",19.84,Gabungan Fitur,13
RGB_rgb_HSV_G/Bratio,ANN,0.7942001515379646,0.8045405908288238,0.7942001515379646,0.793767168056868,0.7123366336633663,0.7232507942287049,0.7123366336633663,0.7096562295285468,"R, G, B, r, g, b, G/Bratio, H, S, V",21.56,Gabungan Fitur,10
HSV_CLab,ANN,0.794421872950959,0.8042037353482769,0.794421872950959,0.7939464821213665,0.7113069306930693,0.7215255780735349,0.7113069306930693,0.709175765894143,"H, S, V, cL, ca, cb",27.98,Gabungan Fitur,6
HSV,ANN,0.7940919621737926,0.8024819278010978,0.7940919621737926,0.792644012210115,0.7113069306930693,0.7193779590928239,0.7113069306930693,0.7076639985887402,"H, S, V",33.18,Gabungan Fitur,3
HSV_CLab_R/Gratio_G/Bratio,ANN,0.7994923235335544,0.8100170440939708,0.7994923235335544,0.7988607351983339,0.7112970297029703,0.726491174825943,0.7112970297029703,0.7084143828814541,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb",26.08,Gabungan Fitur,8
CLab,ANN,0.7785470569093054,0.7912364829626927,0.7785470569093054,0.7775782968391131,0.7103564356435644,0.7240846648033509,0.7103564356435644,0.7061272005159382,"cL, ca, cb",31.16,Gabungan Fitur,3
rgb_HSV_CLab,ANN,0.7947520265774276,0.8070233312604105,0.7947520265774276,0.7942491908209759,0.7103168316831683,0.7227477122484525,0.7103168316831683,0.7079374555160445,"r, g, b, H, S, V, cL, ca, cb",21.7,Gabungan Fitur,9
RGB_HSV_CLab,ANN,0.7947520265774276,0.8070233312604105,0.7947520265774276,0.7942491908209759,0.7103168316831683,0.7227477122484525,0.7103168316831683,0.7079374555160445,"R, G, B, H, S, V, cL, ca, cb",21.76,Gabungan Fitur,9
HSV_CLab_R/Gratio,ANN,0.7951941337322538,0.8062765026103902,0.7951941337322538,0.7947800433877343,0.7073564356435643,0.717824203163748,0.7073564356435643,0.7045986014464655,"R/Gratio, H, S, V, cL, ca, cb",25.62,Gabungan Fitur,7
R/Gratio_G/Bratio,ANN,0.6160698240313955,0.6262109048284249,0.6160698240313955,0.6147228278110464,0.5536831683168317,0.5713222660319357,0.5536831683168317,0.5520318283459769,"R/Gratio, G/Bratio",41.13,Gabungan Fitur,2
G/Bratio,ANN,0.5117962834342776,0.5113296714761975,0.5117962834342776,0.5022510631604477,0.4891683168316831,0.4826142070417268,0.4891683168316831,0.4754438145401737,G/Bratio,23.98,Gabungan Fitur,1
R/Gratio,ANN,0.4750937398306855,0.4885835163229191,0.4750937398306855,0.4745803652061237,0.4553762376237624,0.4748087458926577,0.4553762376237624,0.4523651596234739,R/Gratio,37.02,Gabungan Fitur,1
